PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
237,Set 3 - Third Party,THIRD-PARTY (OC4J jar),framework-1.3.2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.identityconnectors|org\.identityconnectors\.framework|org\.identityconnectors\.framework\.common|org\.identityconnectors\.framework\.common\.objects|org\.identityconnectors\.common|org\.identityconnectors\.framework\.api|org\.identityconnectors\.framework\.spi|org\.identityconnectors\.framework\.api\.operations|org\.identityconnectors\.framework\.common\.exceptions|org\.identityconnectors\.framework\.spi\.operations)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.identityconnectors|org\.identityconnectors\.framework|org\.identityconnectors\.framework\.common|org\.identityconnectors\.framework\.common\.objects|org\.identityconnectors\.common|org\.identityconnectors\.framework\.api|org\.identityconnectors\.framework\.spi|org\.identityconnectors\.framework\.api\.operations|org\.identityconnectors\.framework\.common\.exceptions|org\.identityconnectors\.framework\.spi\.operations)\.)|(?:\b(?:org\.identityconnectors|org\.identityconnectors\.framework|org\.identityconnectors\.framework\.common|org\.identityconnectors\.framework\.common\.objects|org\.identityconnectors\.common|org\.identityconnectors\.framework\.api|org\.identityconnectors\.framework\.spi|org\.identityconnectors\.framework\.api\.operations|org\.identityconnectors\.framework\.common\.exceptions|org\.identityconnectors\.framework\.spi\.operations)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
238,Set 3 - Third Party,THIRD-PARTY (JNDI jar),fscontext.jar,Third-party library present in application lib folder (exploded project).,,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
239,Set 3 - Third Party,THIRD-PARTY (INTERNAL jar),gel_ciom.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ebao\.ls\.ih\.eai)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ebao\.ls\.ih\.eai)\.)|(?:\b(?:com\.ebao\.ls\.ih\.eai)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
240,Set 3 - Third Party,THIRD-PARTY (INTERNAL jar),gel_epay_online.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ebao\.ls\.ih\.epay)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ebao\.ls\.ih\.epay)\.)|(?:\b(?:com\.ebao\.ls\.ih\.epay)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
241,Set 3 - Third Party,THIRD-PARTY (HIBERNATE jar),hibernate2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:net\.sf\.hibernate|net\.sf\.hibernate\.type|net\.sf\.hibernate\.impl|net\.sf\.hibernate\.expression|net\.sf\.hibernate\.engine|net\.sf\.hibernate\.mapping|net\.sf\.hibernate\.cache|net\.sf\.hibernate\.dialect|net\.sf\.hibernate\.collection|net\.sf\.hibernate\.cfg)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:net\.sf\.hibernate|net\.sf\.hibernate\.type|net\.sf\.hibernate\.impl|net\.sf\.hibernate\.expression|net\.sf\.hibernate\.engine|net\.sf\.hibernate\.mapping|net\.sf\.hibernate\.cache|net\.sf\.hibernate\.dialect|net\.sf\.hibernate\.collection|net\.sf\.hibernate\.cfg)\.)|(?:\b(?:net\.sf\.hibernate|net\.sf\.hibernate\.type|net\.sf\.hibernate\.impl|net\.sf\.hibernate\.expression|net\.sf\.hibernate\.engine|net\.sf\.hibernate\.mapping|net\.sf\.hibernate\.cache|net\.sf\.hibernate\.dialect|net\.sf\.hibernate\.collection|net\.sf\.hibernate\.cfg)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
242,Set 3 - Third Party,THIRD-PARTY (HTTP jar),httpclient.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.client|org\.apache\.http\.conn|org\.apache\.http\.impl\.conn|org\.apache\.http\.impl\.client|org\.apache\.http\.impl\.cookie|org\.apache\.http\.impl\.auth|org\.apache\.http\.client\.methods|org\.apache\.http\.auth)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.client|org\.apache\.http\.conn|org\.apache\.http\.impl\.conn|org\.apache\.http\.impl\.client|org\.apache\.http\.impl\.cookie|org\.apache\.http\.impl\.auth|org\.apache\.http\.client\.methods|org\.apache\.http\.auth)\.)|(?:\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.client|org\.apache\.http\.conn|org\.apache\.http\.impl\.conn|org\.apache\.http\.impl\.client|org\.apache\.http\.impl\.cookie|org\.apache\.http\.impl\.auth|org\.apache\.http\.client\.methods|org\.apache\.http\.auth)\.[A-Za-z_$][\w$]*\b)",Medium,HTTP Client Migration,Dual-runtime: migrate from HttpClient 3.x APIs to HttpClient 4.5.x/5.x (Java 8+); refactor code; test on both runtimes.,Refactor,Replace API usages; verify timeouts/pooling/TLS.,Medium,1.5,Yes,Yes,Requires Migration,No,No,Dual-HttpClient-Refactor
243,Set 3 - Third Party,THIRD-PARTY (HTTP jar),httpcore.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.protocol|org\.apache\.http\.impl\.io|org\.apache\.http\.message|org\.apache\.http\.params|org\.apache\.http\.entity|org\.apache\.http\.util|org\.apache\.http\.pool|org\.apache\.http\.config)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.protocol|org\.apache\.http\.impl\.io|org\.apache\.http\.message|org\.apache\.http\.params|org\.apache\.http\.entity|org\.apache\.http\.util|org\.apache\.http\.pool|org\.apache\.http\.config)\.)|(?:\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.protocol|org\.apache\.http\.impl\.io|org\.apache\.http\.message|org\.apache\.http\.params|org\.apache\.http\.entity|org\.apache\.http\.util|org\.apache\.http\.pool|org\.apache\.http\.config)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
244,Set 3 - Third Party,THIRD-PARTY (IBM jar),ibmjcefips.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.crypto\.fips\.provider|com\.ibm\.Copyright)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.crypto\.fips\.provider|com\.ibm\.Copyright)\.)|(?:\b(?:com\.ibm|com\.ibm\.crypto\.fips\.provider|com\.ibm\.Copyright)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Crypto
245,Set 3 - Third Party,THIRD-PARTY (IBM jar),ibmjceprovider.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.crypto|com\.ibm\.crypto\.provider|com\.ibm\.crypto\.tools|com\.ibm\.crypto\.provider\.safkeyring|com\.ibm\.crypto\.provider\.PBEWithSHAAnd2KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHAAnd3KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHA1AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD2AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD5AndTripleDESCipher)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.crypto|com\.ibm\.crypto\.provider|com\.ibm\.crypto\.tools|com\.ibm\.crypto\.provider\.safkeyring|com\.ibm\.crypto\.provider\.PBEWithSHAAnd2KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHAAnd3KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHA1AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD2AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD5AndTripleDESCipher)\.)|(?:\b(?:com\.ibm|com\.ibm\.crypto|com\.ibm\.crypto\.provider|com\.ibm\.crypto\.tools|com\.ibm\.crypto\.provider\.safkeyring|com\.ibm\.crypto\.provider\.PBEWithSHAAnd2KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHAAnd3KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHA1AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD2AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD5AndTripleDESCipher)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Crypto
246,Set 3 - Third Party,THIRD-PARTY (IBM jar),ibmjsseprovider2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.jsse2|com\.ibm\.net\.ssl\.www2|com\.ibm\.jsse2\.util|com\.ibm\.jsse|com\.ibm\.compat|com\.ibm\.jsse2\.ProtoSSLEngineResult\$Status|com\.ibm\.jsse2\.SSLServerSocketFactoryImpl|com\.ibm\.jsse2\.HostnameVerifierIgnore|com\.ibm\.jsse2\.SSLSocketFactoryImpl)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.jsse2|com\.ibm\.net\.ssl\.www2|com\.ibm\.jsse2\.util|com\.ibm\.jsse|com\.ibm\.compat|com\.ibm\.jsse2\.ProtoSSLEngineResult\$Status|com\.ibm\.jsse2\.SSLServerSocketFactoryImpl|com\.ibm\.jsse2\.HostnameVerifierIgnore|com\.ibm\.jsse2\.SSLSocketFactoryImpl)\.)|(?:\b(?:com\.ibm|com\.ibm\.jsse2|com\.ibm\.net\.ssl\.www2|com\.ibm\.jsse2\.util|com\.ibm\.jsse|com\.ibm\.compat|com\.ibm\.jsse2\.ProtoSSLEngineResult\$Status|com\.ibm\.jsse2\.SSLServerSocketFactoryImpl|com\.ibm\.jsse2\.HostnameVerifierIgnore|com\.ibm\.jsse2\.SSLSocketFactoryImpl)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Crypto
247,Set 3 - Third Party,THIRD-PARTY (PDF jar),itext-1.3.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.lowagie|com\.lowagie\.text|com\.lowagie\.text\.pdf|com\.lowagie\.text\.pdf\.codec|com\.lowagie\.text\.rtf|com\.lowagie\.bc\.asn1|com\.lowagie\.tools|com\.lowagie\.text\.html|com\.lowagie\.text\.pdf\.hyphenation|com\.lowagie\.text\.xml)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.lowagie|com\.lowagie\.text|com\.lowagie\.text\.pdf|com\.lowagie\.text\.pdf\.codec|com\.lowagie\.text\.rtf|com\.lowagie\.bc\.asn1|com\.lowagie\.tools|com\.lowagie\.text\.html|com\.lowagie\.text\.pdf\.hyphenation|com\.lowagie\.text\.xml)\.)|(?:\b(?:com\.lowagie|com\.lowagie\.text|com\.lowagie\.text\.pdf|com\.lowagie\.text\.pdf\.codec|com\.lowagie\.text\.rtf|com\.lowagie\.bc\.asn1|com\.lowagie\.tools|com\.lowagie\.text\.html|com\.lowagie\.text\.pdf\.hyphenation|com\.lowagie\.text\.xml)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
248,Set 3 - Third Party,THIRD-PARTY (JACKSON jar),jackson-annotations-2.8.8.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.fasterxml\.jackson\.annotation|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$IntSequenceGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$PropertyGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$StringIdGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$UUIDGenerator|com\.fasterxml\.jackson\.annotation\.JsonIgnoreProperties\$Value|com\.fasterxml\.jackson\.annotation\.JsonAutoDetect\$Visibility|com\.fasterxml\.jackson\.annotation\.JacksonAnnotationsInside|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$Base|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$None)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.fasterxml\.jackson\.annotation|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$IntSequenceGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$PropertyGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$StringIdGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$UUIDGenerator|com\.fasterxml\.jackson\.annotation\.JsonIgnoreProperties\$Value|com\.fasterxml\.jackson\.annotation\.JsonAutoDetect\$Visibility|com\.fasterxml\.jackson\.annotation\.JacksonAnnotationsInside|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$Base|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$None)\.)|(?:\b(?:com\.fasterxml\.jackson\.annotation|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$IntSequenceGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$PropertyGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$StringIdGenerator|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$UUIDGenerator|com\.fasterxml\.jackson\.annotation\.JsonIgnoreProperties\$Value|com\.fasterxml\.jackson\.annotation\.JsonAutoDetect\$Visibility|com\.fasterxml\.jackson\.annotation\.JacksonAnnotationsInside|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$Base|com\.fasterxml\.jackson\.annotation\.ObjectIdGenerators\$None)\.[A-Za-z_$][\w$]*\b)",Medium,JSON Binding,Dual-runtime: upgrade Jackson to 2.15+ (Java 8 compatible) and keep modules aligned; validate on JDK 21.,Upgrade,Upgrade jackson-* modules together; run regression tests.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Jackson
249,Set 3 - Third Party,THIRD-PARTY (JACKSON jar),jackson-core-2.8.8.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.fasterxml\.jackson\.core|com\.fasterxml\.jackson\.core\.util|com\.fasterxml\.jackson\.core\.io|com\.fasterxml\.jackson\.core\.json|com\.fasterxml\.jackson\.core\.sym|com\.fasterxml\.jackson\.core\.format|com\.fasterxml\.jackson\.core\.filter|com\.fasterxml\.jackson\.core\.base|com\.fasterxml\.jackson\.core\.type|com\.fasterxml\.jackson\.core\.JsonGenerationException)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.fasterxml\.jackson\.core|com\.fasterxml\.jackson\.core\.util|com\.fasterxml\.jackson\.core\.io|com\.fasterxml\.jackson\.core\.json|com\.fasterxml\.jackson\.core\.sym|com\.fasterxml\.jackson\.core\.format|com\.fasterxml\.jackson\.core\.filter|com\.fasterxml\.jackson\.core\.base|com\.fasterxml\.jackson\.core\.type|com\.fasterxml\.jackson\.core\.JsonGenerationException)\.)|(?:\b(?:com\.fasterxml\.jackson\.core|com\.fasterxml\.jackson\.core\.util|com\.fasterxml\.jackson\.core\.io|com\.fasterxml\.jackson\.core\.json|com\.fasterxml\.jackson\.core\.sym|com\.fasterxml\.jackson\.core\.format|com\.fasterxml\.jackson\.core\.filter|com\.fasterxml\.jackson\.core\.base|com\.fasterxml\.jackson\.core\.type|com\.fasterxml\.jackson\.core\.JsonGenerationException)\.[A-Za-z_$][\w$]*\b)",Medium,JSON Binding,Dual-runtime: upgrade Jackson to 2.15+ (Java 8 compatible) and keep modules aligned; validate on JDK 21.,Upgrade,Upgrade jackson-* modules together; run regression tests.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Jackson
250,Set 3 - Third Party,THIRD-PARTY (JACKSON jar),jackson-databind-2.8.8.1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.fasterxml\.jackson\.databind|com\.fasterxml\.jackson\.databind\.deser|com\.fasterxml\.jackson\.databind\.ser|com\.fasterxml\.jackson\.databind\.util|com\.fasterxml\.jackson\.databind\.introspect|com\.fasterxml\.jackson\.databind\.node|com\.fasterxml\.jackson\.databind\.jsonFormatVisitors|com\.fasterxml\.jackson\.databind\.jsontype|com\.fasterxml\.jackson\.databind\.type|com\.fasterxml\.jackson\.databind\.annotation)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.fasterxml\.jackson\.databind|com\.fasterxml\.jackson\.databind\.deser|com\.fasterxml\.jackson\.databind\.ser|com\.fasterxml\.jackson\.databind\.util|com\.fasterxml\.jackson\.databind\.introspect|com\.fasterxml\.jackson\.databind\.node|com\.fasterxml\.jackson\.databind\.jsonFormatVisitors|com\.fasterxml\.jackson\.databind\.jsontype|com\.fasterxml\.jackson\.databind\.type|com\.fasterxml\.jackson\.databind\.annotation)\.)|(?:\b(?:com\.fasterxml\.jackson\.databind|com\.fasterxml\.jackson\.databind\.deser|com\.fasterxml\.jackson\.databind\.ser|com\.fasterxml\.jackson\.databind\.util|com\.fasterxml\.jackson\.databind\.introspect|com\.fasterxml\.jackson\.databind\.node|com\.fasterxml\.jackson\.databind\.jsonFormatVisitors|com\.fasterxml\.jackson\.databind\.jsontype|com\.fasterxml\.jackson\.databind\.type|com\.fasterxml\.jackson\.databind\.annotation)\.[A-Za-z_$][\w$]*\b)",Medium,JSON Binding,Dual-runtime: upgrade Jackson to 2.15+ (Java 8 compatible) and keep modules aligned; validate on JDK 21.,Upgrade,Upgrade jackson-* modules together; run regression tests.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Jackson
251,Set 3 - Third Party,THIRD-PARTY (JACKSON jar),jackson-databind-2.8.8.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.fasterxml\.jackson\.databind|com\.fasterxml\.jackson\.databind\.deser|com\.fasterxml\.jackson\.databind\.ser|com\.fasterxml\.jackson\.databind\.util|com\.fasterxml\.jackson\.databind\.introspect|com\.fasterxml\.jackson\.databind\.node|com\.fasterxml\.jackson\.databind\.jsonFormatVisitors|com\.fasterxml\.jackson\.databind\.jsontype|com\.fasterxml\.jackson\.databind\.type|com\.fasterxml\.jackson\.databind\.annotation)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.fasterxml\.jackson\.databind|com\.fasterxml\.jackson\.databind\.deser|com\.fasterxml\.jackson\.databind\.ser|com\.fasterxml\.jackson\.databind\.util|com\.fasterxml\.jackson\.databind\.introspect|com\.fasterxml\.jackson\.databind\.node|com\.fasterxml\.jackson\.databind\.jsonFormatVisitors|com\.fasterxml\.jackson\.databind\.jsontype|com\.fasterxml\.jackson\.databind\.type|com\.fasterxml\.jackson\.databind\.annotation)\.)|(?:\b(?:com\.fasterxml\.jackson\.databind|com\.fasterxml\.jackson\.databind\.deser|com\.fasterxml\.jackson\.databind\.ser|com\.fasterxml\.jackson\.databind\.util|com\.fasterxml\.jackson\.databind\.introspect|com\.fasterxml\.jackson\.databind\.node|com\.fasterxml\.jackson\.databind\.jsonFormatVisitors|com\.fasterxml\.jackson\.databind\.jsontype|com\.fasterxml\.jackson\.databind\.type|com\.fasterxml\.jackson\.databind\.annotation)\.[A-Za-z_$][\w$]*\b)",Medium,JSON Binding,Dual-runtime: upgrade Jackson to 2.15+ (Java 8 compatible) and keep modules aligned; validate on JDK 21.,Upgrade,Upgrade jackson-* modules together; run regression tests.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Jackson
252,Set 3 - Third Party,THIRD-PARTY (REGEXP jar),jakarta-oro.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.oro|org\.apache\.oro\.text|org\.apache\.oro\.text\.regex|org\.apache\.oro\.text\.awk|org\.apache\.oro\.util|org\.apache\.oro\.io|org\.apache\.oro\.text\.perl|org\.apache\.oro\.text\.MalformedCachePatternException|org\.apache\.oro\.text\.MatchActionProcessor|org\.apache\.oro\.text\.GenericPatternCache)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.oro|org\.apache\.oro\.text|org\.apache\.oro\.text\.regex|org\.apache\.oro\.text\.awk|org\.apache\.oro\.util|org\.apache\.oro\.io|org\.apache\.oro\.text\.perl|org\.apache\.oro\.text\.MalformedCachePatternException|org\.apache\.oro\.text\.MatchActionProcessor|org\.apache\.oro\.text\.GenericPatternCache)\.)|(?:\b(?:org\.apache\.oro|org\.apache\.oro\.text|org\.apache\.oro\.text\.regex|org\.apache\.oro\.text\.awk|org\.apache\.oro\.util|org\.apache\.oro\.io|org\.apache\.oro\.text\.perl|org\.apache\.oro\.text\.MalformedCachePatternException|org\.apache\.oro\.text\.MatchActionProcessor|org\.apache\.oro\.text\.GenericPatternCache)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
253,Set 3 - Third Party,THIRD-PARTY (CSV jar),javacsv.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.csvreader|com\.csvreader\.CsvReader\$RawRecordBuffer|com\.csvreader\.CsvReader\$StaticSettings|com\.csvreader\.CsvReader\$ComplexEscape|com\.csvreader\.CsvReader\$HeadersHolder|com\.csvreader\.CsvReader\$UserSettings|com\.csvreader\.CsvWriter\$UserSettings|com\.csvreader\.CsvReader\$ColumnBuffer|com\.csvreader\.CsvReader\$DataBuffer|com\.csvreader\.CsvWriter\$Letters)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.csvreader|com\.csvreader\.CsvReader\$RawRecordBuffer|com\.csvreader\.CsvReader\$StaticSettings|com\.csvreader\.CsvReader\$ComplexEscape|com\.csvreader\.CsvReader\$HeadersHolder|com\.csvreader\.CsvReader\$UserSettings|com\.csvreader\.CsvWriter\$UserSettings|com\.csvreader\.CsvReader\$ColumnBuffer|com\.csvreader\.CsvReader\$DataBuffer|com\.csvreader\.CsvWriter\$Letters)\.)|(?:\b(?:com\.csvreader|com\.csvreader\.CsvReader\$RawRecordBuffer|com\.csvreader\.CsvReader\$StaticSettings|com\.csvreader\.CsvReader\$ComplexEscape|com\.csvreader\.CsvReader\$HeadersHolder|com\.csvreader\.CsvReader\$UserSettings|com\.csvreader\.CsvWriter\$UserSettings|com\.csvreader\.CsvReader\$ColumnBuffer|com\.csvreader\.CsvReader\$DataBuffer|com\.csvreader\.CsvWriter\$Letters)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
